model,model_key,layer,iteration_type,iteration,loss,js_divergence,total_variation_distance,negative_log_likelihood,target_support_probability,mode_coverage,entropy,grad_norm,step_time_s,epoch_time_s
MZI,MZI,1,step,141,0.42062820916887195,0.09598579380103124,0.25090344998621045,2.0806482857902013,0.7490965500137896,6.0,2.0900631749413567,0.03480909919011563,0.01831793785095215,
MZI,MZI,1,step,142,0.42058706004591184,0.09595979192671664,0.2508378606827048,2.080569167233733,0.7491621393172953,6.0,2.090481321468088,0.028811780190622256,0.02703118324279785,
MZI,MZI,1,step,143,0.4207142262060704,0.09603967521199017,0.2510233714858424,2.0808225494652546,0.7489766285141576,6.0,2.0923520117072734,0.025241452809327942,0.019946575164794922,
MZI,MZI,1,step,144,0.4207259392331537,0.09604704314943299,0.25104082453827314,2.0808456990453807,0.748959175461727,6.0,2.09182556432053,0.033362899130513476,0.018622875213623047,
MZI,MZI,1,step,145,0.4204872908876941,0.09589698004918884,0.25068726749378795,2.080372983092106,0.749312732506212,6.0,2.0880921444114984,0.03720705266442892,0.0232999324798584,
MZI,MZI,1,step,146,0.4202510594801025,0.09574841437705063,0.25033647689808514,2.0799054750543173,0.7496635231019149,6.0,2.0844782144662712,0.028940125439190764,0.019238948822021484,
MZI,MZI,1,step,147,0.42021227614141027,0.0957240117284531,0.2502784530245157,2.079828945078209,0.7497215469754843,6.0,2.083445214738839,0.016718121087801078,0.01818084716796875,
MZI,MZI,1,step,148,0.4202488396115984,0.09574701457232931,0.25033304344252144,2.0799011524476203,0.7496669565574786,6.0,2.0840257977684664,0.018414713899914722,0.023096323013305664,
MZI,MZI,1,step,149,0.420235250797485,0.095738505240465,0.25031420136157045,2.0798735699262765,0.7496857986384295,6.0,2.0839604906386153,0.02260827930889212,0.023230791091918945,
MZI,MZI,1,step,150,0.4202362277731104,0.0957391552082377,0.2503169486336065,2.079874834221283,0.7496830513663935,6.0,2.083655928111222,0.019545207132270124,0.023821115493774414,
MZI,MZI,2,step,1,1.724467441165813,0.4550117952580222,0.8319418006567385,8.185723705833027,0.9268393817968033,5.0,0.3695021143477185,2.715232265966592,0.03264188766479492,
